time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-10T22:08:02.060Z,19.4193333,-155.6121667,2.322,2.74,ml,37,77,0.02201,0.17,hv,hv61174906,2016-02-11T06:10:39.496Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.27,0.45,0.265,20,reviewed,hv,hv
2016-02-10T21:54:19.820Z,37.5253333,-118.4603333,5.36,1.16,md,12,85,0.02639,0.04,nc,nc72589015,2016-02-11T02:40:04.906Z,"15km NNW of Dixon Lane-Meadow Creek, California",earthquake,0.29,0.68,0.072,10,reviewed,nc,nc
2016-02-10T21:45:40.240Z,34.4396667,-116.2543333,1.24,1.58,ml,34,39,0.1819,0.15,ci,ci37522632,2016-02-11T18:28:36.576Z,"32km SSW of Ludlow, California",earthquake,0.19,0.49,0.141,37,reviewed,ci,ci
2016-02-10T21:30:20.300Z,-20.4013,-174.56,41.09,5,mb,,89,4.558,1.33,us,us20004zdp,2016-02-11T05:32:47.935Z,"70km SSW of Pangai, Tonga",earthquake,10.3,6.9,0.071,63,reviewed,us,us
2016-02-10T21:28:39.082Z,38.9363,-118.7383,10.4,1.6,ml,12,101.67,0.351,0.1121,nn,nn00530897,2016-02-10T21:42:06.244Z,"37km E of Yerington, Nevada",earthquake,0.98,2.3,0.22,8,reviewed,nn,nn
2016-02-10T21:00:46.700Z,36.5508333,-89.8401667,8.49,1.62,md,17,70,0.04649,0.06,nm,nm60103197,2016-02-11T13:37:53.690Z,"11km E of Malden, Missouri",earthquake,0.27,0.6,0.048,5,reviewed,nm,nm
2016-02-10T20:57:35.680Z,37.0461,-97.8908,5,3,mb_lg,,36,0.1,0.42,us,us20004zdc,2016-02-11T19:10:43.580Z,"17km SE of Anthony, Kansas",earthquake,5,2,0.079,42,reviewed,us,us
2016-02-10T20:50:51.620Z,37.0565,-97.8926667,7.18,1.9,ml,15,67,0.1031,0.04,ismpkansas,ismpkansas70171593,2016-02-11T19:15:53.710Z,"16km SE of Anthony, Kansas",earthquake,0.18,0.55,0.115,20,reviewed,ismp,ismp
2016-02-10T20:03:45.670Z,46.0095,-112.4731667,-2,1.8,ml,6,155,0.188,0.1,mb,mb80124059,2016-02-11T00:54:15.160Z,"4km E of Butte, Montana",quarry blast,0.84,31.61,0.345,4,reviewed,mb,mb
2016-02-10T19:53:29.040Z,19.4288333,-155.611,2.862,3.25,ml,35,75,0.02417,0.13,hv,hv61174796,2016-02-11T03:56:13.035Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake,0.27,0.43,0.155,21,reviewed,hv,hv
2016-02-10T19:45:55.330Z,34.342,-116.8821667,-1.6,1.13,ml,43,61,0.04566,0.25,ci,ci37522600,2016-02-10T20:34:40.287Z,"10km NNW of Big Bear City, California",quarry blast,0.37,31.61,0.12,17,reviewed,ci,ci
2016-02-10T19:36:28.060Z,37.9918333,-122.4853333,-0.05,1.38,md,6,194,0.01318,0.07,nc,nc72588990,2016-02-10T22:47:57.570Z,"3km WSW of Quarry near San Rafael, CA",quarry blast,0.5,31.61,0.176,4,reviewed,nc,nc
2016-02-10T19:29:56.230Z,35.0401667,-117.6816667,-0.82,1.79,ml,37,57,0.1062,0.18,ci,ci37522592,2016-02-10T19:47:24.203Z,"5km NNW of Boron, California",quarry blast,0.3,31.61,0.139,32,reviewed,ci,ci
2016-02-10T19:15:18.560Z,36.5531,70.8019,188.78,4.2,mb,,79,0.599,1,us,us20004zcs,2016-02-11T03:17:55.170Z,"34km S of Jarm, Afghanistan",earthquake,7.5,8.7,0.152,12,reviewed,us,us
